AST Structure,Fitness Score,Total PnL,Avg Trade,Avg Win,Avg Loss,Largest Win,Largest Loss,Std Win,Std Loss,Max DD,PnL/DD,Max Cons Loss,Sharpe,Sortino,Profit Factor,CPC Index,Corr Coef,Exposure (%),Complexity,Direction,Stop Type,Take Profit,MAP-X,MAP-Y,Fitness Function,In-Sample Pct
"((1 > LinRegSlope((Open * 3.5), 50) AND (High / Close) > 1) AND (Open - Low) < ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))",47.0604,16775.49,1.1284,4.9075,2.2309,105.3583,-58.8082,6.3155,2.1509,173.4099,96.7389,39,0.1938,0.5005,1.9555,2.0244,0.9864,21.2,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open + (High - Close)) AND (Low / Open) < 1) AND 1 > LinRegSlope((Close * 4.5), 50))",51.9359,31803.13,2.2348,7.4101,3.3574,204.7724,-65.9082,10.1551,4.0205,586.2540,54.2480,19,0.2352,0.6154,2.3849,2.7337,0.9923,20.3,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close - Open) / (High - Low)) > (High / (Open + Close)) AND Close < (Open - (Low - High)))",55.8536,46657.67,2.8840,7.6189,3.1065,204.7724,-59.7082,10.3212,3.6208,252.4200,184.8415,20,0.2980,0.9098,3.1030,4.2506,0.9909,23.1,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close - Open) / (High - Low)) > (High / (Open + Close)) AND 1 > LinRegSlope((Low * 2.4), 50))",56.7324,40077.38,2.7158,6.8931,2.7614,204.7724,-59.7082,9.4467,3.2870,215.8978,185.6313,17,0.3071,0.9617,3.2730,4.6352,0.9903,21.1,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND (Low / Open) < 1) AND LinRegSlope(Low, 14) < LinRegSlope((Open + High), 100))",39.5384,6661.71,0.3576,5.4510,2.9733,189.3952,-45.3661,7.3703,2.5349,960.4773,6.9358,51,0.0550,0.1177,1.1989,0.8691,0.9336,26.6,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND (Low + ((Low - Min(Low, 50)) / (Max(Low, 50) - Min(Low, 50)))) < Open) AND LinRegSlope(Low, 14) < (Low / (High + Open)))",43.4418,21197.60,1.1933,8.0285,4.0567,204.7724,-65.9082,10.7023,4.2125,926.3553,22.8828,35,0.1220,0.2713,1.5201,1.3069,0.9846,25.4,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(1 > LinRegSlope((Open * 3.5), 50) AND (Open - Low) < ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))",47.9973,19642.71,1.1128,4.6096,2.1146,105.3583,-58.8082,5.9783,2.0619,194.0211,101.2401,44,0.2010,0.5225,2.0120,2.1051,0.9868,25.2,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open + (High - Close)) AND 1 > (Low / Open)) AND LinRegSlope((Low - High), 7) < 1)",51.7229,43055.84,2.2754,7.5762,3.4036,204.7724,-52.2082,10.0819,3.5590,302.0103,142.5642,23,0.2415,0.6650,2.3848,2.7456,0.9917,27.0,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((Low - Close) * 2.5) < (EMA(Close, 50) - EMA(Close, 100)) AND LinRegSlope((Open * 1.8), 21) < 1) AND 1 < ((Close + Low) / (Open + Open)))",53.9285,41034.73,2.3129,6.7229,2.8492,204.7724,-51.8723,9.3977,3.1503,213.7039,192.0168,21,0.2671,0.8022,2.7619,3.5144,0.9872,25.3,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close - Open) / (High - Low)) > (High / (Open + Close))",56.1708,48221.05,2.8045,7.3438,3.0129,204.7724,-59.7082,10.0905,3.5587,252.4200,191.0350,17,0.2970,0.9085,3.1238,4.2769,0.9903,24.6,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((0 < LinRegSlope(Close, 200) AND ((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100)))) AND (Low / Open) < 1)",39.6448,6539.51,0.2940,5.4233,3.0751,189.3952,-36.6092,7.2141,2.6085,1568.2273,4.1700,51,0.0454,0.0939,1.1584,0.8099,0.9422,31.8,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND ((Low - Open) / (Open * 2.4)) < LinRegSlope(Open, 100)) AND LinRegSlope((Low + Open), 21) < 1)",43.9162,19861.37,0.9140,5.6682,2.8088,204.7724,-64.2310,8.6709,2.9121,743.7197,26.7054,48,0.1227,0.3017,1.5802,1.4005,0.9711,31.0,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Open - Low) < ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))",47.8504,25823.04,1.1541,5.0072,2.3815,105.3583,-58.8082,6.5753,2.3218,229.2428,112.6449,44,0.1894,0.4805,1.9292,1.9410,0.9872,32.0,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Open - (EMA(High, 50) - EMA(High, 100))) < Close AND Open < Close) AND 1 > LinRegSlope((High + Close), 50))",51.0719,35138.89,1.7683,6.2704,2.9311,204.7724,-109.8831,8.7251,3.2733,337.1731,104.2162,25,0.2189,0.5753,2.2330,2.4396,0.9912,28.4,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Low - Close) * 2.5) < (EMA(Close, 50) - EMA(Close, 100)) AND 1 < ((Close + Low) / (Open + Open)))",53.8166,51353.99,2.4363,7.2581,3.1826,204.7724,-109.8831,9.9929,3.8529,279.2623,183.8916,21,0.2602,0.7174,2.6575,3.2617,0.9887,30.1,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND (Low / Open) < 1) AND ((Open - Low) / (Close + Low)) < LinRegSlope((High * 0.2), 100))",39.3611,6536.88,0.2637,5.5466,3.1655,189.3952,-45.3661,7.2729,2.7029,2226.7249,2.9356,51,0.0400,0.0813,1.1374,0.7844,0.9077,35.4,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND 1 > LinRegSlope(Open, 14)) AND LinRegSlope((Open + Open), 100) > LinRegSlope(High, 200))",43.9826,22407.03,0.9845,6.0885,3.0229,204.7724,-64.2310,9.0356,2.9825,974.8157,22.9859,48,0.1257,0.3098,1.5814,1.4009,0.9709,32.5,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND LinRegSlope((Close * 0.9), 7) > LinRegSlope(Close, 14))",47.0644,35176.73,1.4544,7.0195,3.4934,204.7724,-109.8831,9.7184,4.0740,790.0655,44.5238,36,0.1618,0.3725,1.7865,1.6895,0.9862,34.6,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((High + Low) / (Close + Close)) < 1 AND Close > Open) AND (High / ((High - Min(High, 7)) / (Max(High, 7) - Min(High, 7)))) > 1)",51.5869,52014.56,2.0844,7.3578,3.5346,204.7724,-104.3825,10.0048,4.0770,553.0444,94.0513,25,0.2206,0.5552,2.2181,2.3819,0.9916,35.6,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Low + Close) / (Open + Open)) > 1",53.2956,55468.68,2.3096,7.2596,3.3391,204.7724,-109.8831,9.8604,4.0881,475.9776,116.5363,23,0.2468,0.6402,2.4810,2.8747,0.9919,34.3,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((LinRegSlope(Open, 100) > (((Low - Min(Low, 200)) / (Max(Low, 200) - Min(Low, 200))) / (Low + Low)) AND ((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100)))) AND Close < High)",39.7512,8708.33,0.3418,5.6203,3.1409,189.3952,-45.3661,7.3832,2.6871,2082.2085,4.1823,71,0.0513,0.1065,1.1806,0.8398,0.9227,36.4,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(1 > LinRegSlope((High * 4.9), 50) AND ((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))))",43.7138,19665.38,0.7082,4.9880,2.6156,189.3952,-31.5420,6.5911,2.3482,767.0710,25.6370,43,0.1175,0.2686,1.4811,1.2347,0.9839,39.7,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Open < Close AND (SMA(Open, 14) + (StdDev(Open, 14) * 2)) > High)",47.9457,39516.75,1.5317,7.4957,3.9616,204.7724,-104.3825,10.1851,4.5531,1102.1286,35.8549,35,0.1586,0.3517,1.7427,1.5810,0.9935,36.9,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((High + Low) / (Close + Close)) < 1 AND Close > Open) AND SMA(Low, 7) < Close)",51.3636,53669.25,2.0385,7.3344,3.5544,204.7724,-104.3825,9.9981,4.0972,617.4583,86.9196,26,0.2159,0.5389,2.1792,2.3096,0.9907,37.6,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Open + ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) < Close",52.4138,58516.89,2.3061,8.2434,4.2336,204.7724,-109.8831,10.7537,4.9962,1279.2080,45.7446,35,0.2186,0.5105,2.1447,2.1888,0.9964,36.2,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND (Low / Open) < 1) AND LinRegSlope((Low + Open), 100) < 1) AND High > Close)",39.9476,10093.08,0.3476,5.5850,3.1364,83.4168,-36.6092,7.0393,2.6591,1274.2233,7.9210,56,0.0535,0.1091,1.1846,0.8427,0.9442,41.5,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND 1 > LinRegSlope((Close * 4.4), 50))",43.7210,20910.28,0.7284,5.0513,2.6299,189.3952,-31.5420,6.7176,2.3383,766.4677,27.2814,43,0.1192,0.2759,1.4921,1.2530,0.9810,41.0,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND SMA(Open, 7) < Close)",47.7547,43408.52,1.4291,6.8454,3.5216,204.7724,-109.8831,9.3194,4.0549,689.8079,62.9284,36,0.1630,0.3681,1.7768,1.6493,0.9904,43.4,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((High + Low) / (Close + Close)) < 1 AND Close > Open)",50.7761,57399.04,1.9580,7.3846,3.6397,204.7724,-104.3825,10.0710,4.2144,845.1757,67.9137,29,0.2057,0.5012,2.0929,2.1561,0.9917,41.9,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND (Low / Open) < 1) AND LinRegSlope(Low, 100) < 1) AND High > Close)",39.9981,10630.50,0.3413,5.7008,3.2314,83.4168,-36.6092,7.0962,2.7302,1365.9254,7.7826,49,0.0516,0.1042,1.1760,0.8299,0.9584,44.5,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((High - Close) / (Open - Low)) < ((Close * 3.7) / (SMA(High, 7) + (StdDev(High, 7) * 2))) AND Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))) AND 1 > LinRegSlope(Open, 14))",43.7914,30502.51,0.9613,6.4607,3.3231,204.7724,-65.9082,8.9548,3.4886,847.0216,36.0115,41,0.1188,0.2661,1.5147,1.2895,0.9802,45.3,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND (Close - Open) > (Low - Close))",47.3595,38626.09,1.1880,5.8488,3.0052,189.3952,-45.3661,7.5444,2.8664,636.4316,60.6917,41,0.1666,0.3943,1.7510,1.6139,0.9918,46.4,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Low < ((Low - Open) + Close) AND (High / Close) < ((Open + Low) / ((High - Min(High, 14)) / (Max(High, 14) - Min(High, 14)))))",50.1893,56329.39,1.8227,7.3270,3.7235,204.7724,-109.8831,10.0667,4.3949,980.3778,57.4568,28,0.1911,0.4483,1.9827,1.9582,0.9927,44.1,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((EMA(Close, 50) - EMA(Close, 100)) + High) > Open AND ((Open + Close) / ((Low - Min(Low, 50)) / (Max(Low, 50) - Min(Low, 50)))) > 1) AND LinRegSlope((Open + Low), 21) < 1)",39.9638,5582.18,0.1554,6.0908,3.7957,204.7724,-74.7216,9.0153,4.0614,2948.6146,1.8932,65,0.0191,0.0361,1.0682,0.6850,0.7588,51.3,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND ((High * 4.8) / (Low - Open)) < LinRegSlope((Low + Low), 200)) AND LinRegSlope(High, 14) < (Open / Low))",43.9868,34759.22,0.9852,6.5920,3.4178,204.7724,-65.9082,9.0683,3.5825,905.0999,38.4037,43,0.1194,0.2659,1.5146,1.2850,0.9825,50.4,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(1 > ((EMA(High, 7) - EMA(High, 14)) / (High - Open)) AND Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))))",47.9061,54343.99,1.5367,7.1499,3.6254,204.7724,-109.8831,9.7692,4.2199,1303.3123,41.6968,42,0.1677,0.3827,1.8137,1.7135,0.9907,50.5,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Low / (Open - Close)) < LinRegSlope((Open * 0.9), 100)",49.6922,59359.50,1.7316,7.3280,3.7964,204.7724,-109.8831,9.9579,4.4969,1345.4985,44.1171,35,0.1821,0.4148,1.9066,1.8288,0.9936,49.0,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(1 > LinRegSlope((Low * 2.5), 50) AND ((EMA(Close, 50) - EMA(Close, 100)) + High) > Open)",39.6962,2429.30,0.0639,6.0127,3.8520,204.7724,-120.0129,8.5885,4.1812,3314.7144,0.7329,63,0.0080,0.0145,1.0275,0.6367,-0.0934,54.3,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND ((High * 4.8) / (Low - Open)) < LinRegSlope((Low + Low), 200)) AND (SMA(High, 14) + (StdDev(High, 14) * 2)) > Close)",43.7951,36949.83,0.9798,7.0591,3.7572,204.7724,-109.8831,9.6453,4.2193,1472.9802,25.0851,44,0.1099,0.2313,1.4640,1.2046,0.9867,53.9,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND ((EMA(Close, 14) - EMA(Close, 28)) / (Low - Close)) < 1)",46.9653,48401.19,1.2975,6.6908,3.4785,204.7724,-109.8831,9.2921,3.9056,1126.7140,42.9578,33,0.1504,0.3407,1.7033,1.5387,0.9903,53.3,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((((EMA(Close, 50) - EMA(Close, 100)) + High) > Open AND ((Open + Close) / ((Low - Min(Low, 50)) / (Max(Low, 50) - Min(Low, 50)))) > 1) AND 1 > LinRegSlope(Low, 14))",39.8027,4793.59,0.1185,6.2433,3.9312,204.7724,-74.7216,8.9926,4.0714,3869.9683,1.2387,65,0.0145,0.0270,1.0501,0.6638,0.6647,57.8,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) AND ((Close - Open) / SMA(Open, 14)) > ((Low - Open) / Open))",43.7503,29312.15,0.7429,5.6663,3.0865,189.3952,-45.3661,7.3742,2.7758,965.5481,30.3580,56,0.1084,0.2386,1.4279,1.1468,0.9849,56.4,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((High / Close) < ((Open + Low) / ((High - Min(High, 14)) / (Max(High, 14) - Min(High, 14)))) AND Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))))",46.3533,51362.77,1.2755,6.8590,3.5489,204.7724,-109.8831,9.5686,4.0224,1072.4485,47.8930,43,0.1444,0.3246,1.6699,1.4960,0.9876,57.5,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Low - Close) * 2.5) < (EMA(Close, 50) - EMA(Close, 100)) AND (Close - (EMA(Low, 100) - EMA(Low, 200))) < (High + (Close - Open)))",39.7175,1292.82,0.0294,6.6648,4.3424,204.7724,-109.8831,9.3926,4.6856,3399.3688,0.3803,74,0.0033,0.0059,1.0112,0.6164,0.1489,62.8,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Low - Open) - SMA(Low, 21)) > (Open - (High + Close)) AND 1 > LinRegSlope((Low - Close), 7))",43.8226,29429.86,0.6828,6.7408,4.0429,204.7724,-109.8831,9.1363,4.3933,1585.5857,18.5609,40,0.0783,0.1526,1.3006,0.9503,0.9902,61.6,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND Open < High)",46.2889,54516.08,1.2462,6.9137,3.6382,204.7724,-109.8831,9.5066,4.1412,1433.7417,38.0236,44,0.1404,0.3085,1.6377,1.4406,0.9899,62.5,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((EMA(Close, 50) - EMA(Close, 100)) + High) > Open AND ((Open + Close) / ((Low - Min(Low, 50)) / (Max(Low, 50) - Min(Low, 50)))) > 1)",39.9655,3636.52,0.0805,6.7903,4.3864,204.7724,-126.3825,9.7342,4.9556,4771.3584,0.7622,68,0.0089,0.0157,1.0306,0.6376,0.4459,64.6,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Open - Close) + EMA(Low, 21)) < Close",43.8271,29996.30,0.6604,6.8943,4.2035,204.7724,-109.8831,9.5096,4.7851,2514.9034,11.9274,38,0.0726,0.1383,1.2797,0.9199,0.9889,64.9,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))",45.7797,53506.57,1.1820,6.8132,3.5726,204.7724,-109.8831,9.4374,4.0807,1444.6599,37.0375,48,0.1351,0.2960,1.6102,1.4058,0.9883,64.7,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(LinRegSlope((High + Low), 21) < 1 AND Low > Min(Low, 14))",39.9879,1656.88,0.0345,6.4374,4.2320,204.7724,-74.7216,9.0285,4.6941,7849.0078,0.2111,61,0.0040,0.0070,1.0136,0.6165,-0.1010,68.6,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((High > Open AND ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) > 0) AND ((Open + High) / Open) > ((Open + Low) / Close))",43.9315,36674.37,0.7393,7.1732,4.3020,204.7724,-109.8831,9.8272,4.8271,3085.6505,11.8855,54,0.0788,0.1527,1.3065,0.9570,0.9896,70.9,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((High / ((Close - Min(Close, 14)) / (Max(Close, 14) - Min(Close, 14)))) > LinRegSlope((Low + Close), 200) AND ((Open + High) / Open) > ((Open + Low) / Close))",44.4208,40812.49,0.8282,7.1884,4.2551,204.7724,-109.8831,9.8087,4.8448,2637.3480,15.4748,50,0.0882,0.1723,1.3502,1.0132,0.9907,70.4,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Low > Min(Low, 14) AND 1 > LinRegSlope(Low, 14))",39.8606,479.65,0.0091,6.4325,4.2484,204.7724,-74.7216,8.8377,4.4991,8437.8704,0.0568,61,0.0011,0.0019,1.0035,0.6057,-0.3365,75.6,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100))) > 0 AND ((Open + High) / Open) > ((Open + Low) / Close))",43.5425,34989.72,0.6849,7.1095,4.2701,204.7724,-109.8831,9.7682,4.7861,3327.7830,10.5144,58,0.0737,0.1421,1.2841,0.9309,0.9876,73.0,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((1 < (Close / Low) AND ((Open + High) / Open) > ((Open + Low) / Close)) AND (SMA(Open, 21) / (High - Open)) > 1)",44.0035,36237.16,0.7148,7.2761,4.4413,204.7724,-109.8831,9.8894,5.0167,4078.0721,8.8859,56,0.0749,0.1426,1.2874,0.9281,0.9869,72.4,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Low - Close) * 2.5) < (EMA(Close, 50) - EMA(Close, 100))",39.3758,-2003.89,-0.0364,7.0348,4.6292,204.7724,-126.3825,9.8997,5.1578,8085.5987,-0.2478,74,-0.0039,-0.0067,0.9870,0.5906,-0.7096,78.7,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((Open + High) / Open) > ((Open + Low) / Close)",43.3633,33586.43,0.6283,7.1606,4.3730,204.7724,-109.8831,9.7991,4.9418,4511.1828,7.4451,59,0.0669,0.1265,1.2537,0.8902,0.9834,76.4,1,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((High * 4.2) / High) > ((EMA(Low, 21) - EMA(Low, 42)) / ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND Close[-200] < ((High * 1.1) + (High * 3.9)))",39.3304,-3335.21,-0.0596,6.4994,4.3115,204.7724,-71.4082,8.8729,4.7027,11000.0226,-0.3032,72,-0.0070,-0.0120,0.9772,0.5794,-0.6164,80.0,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
